year,month,pc1_hf,STOXX50_hf,MP_pm,CBI_pm,MP_median,CBI_median
2005,3,-0.00731125,0.169307953804854,-0.00731125,-0,-0.00906581,0.00175456
2005,4,-0.01377105,-0.313127566136373,-0,-0.01377105,0.00312037,-0.01689142
2005,5,0.00149892,0.255663487706315,0,0.00149892,-0.00742018,0.0089191
2005,6,0.01537408,-0.143928175912933,0.01537408,0,0.01228622,0.00308786
2005,7,0.01965538,0.933380773970072,0,0.01965538,-0.01999819,0.03965357
2005,8,0.00107421,-0.0524284318734303,0.00107421,0,0.00221244,-0.00113823
2005,9,-0.0047819,0.117994472816285,-0.0047819,-0,-0.00616143,0.00137953
2005,10,-0.00192305,0.196845205132767,-0.00192305,-0,-0.00725165,0.0053286
2005,11,-0.01071439,0.658218208543993,-0.01071439,-0,-0.02639035,0.01567596
2005,12,-0.02746957,0.468173717201736,-0.02746957,-0,-0.02869513,0.00122556
2006,1,-0.02280912,0.115551209822584,-0.02280912,-0,-0.01509696,-0.00771216
2006,2,-0.00868854,0.0344480510655387,-0.00868854,-0,-0.00544505,-0.00324349
2006,3,0.00853535,-0.543618066514107,0.00853535,0,0.02163882,-0.01310347
2006,4,-0.09228841,0.317085567836806,-0.09228841,-0,-0.05627657,-0.03601184
2006,5,-0.00218679,-0.0396690769093766,-0,-0.00218679,0.00017422,-0.00236101
2006,6,-0.04119435,0.590529580651022,-0.04119435,-0,-0.03946736,-0.00172699
2006,7,0.02041669,-0.12308403961736,0.02041669,0,0.01414146,0.00627523
2006,8,0.02877519,-0.0189868012729022,0.02877519,0,0.01499431,0.01378088
2006,9,0,0,0,0,0,0
2006,10,-0.00019648,0.0946219063218123,-0.00019648,-0,-0.00312185,0.00292537
2006,11,-0.00557832,-0.900673254099615,-0,-0.00557832,0.02599157,-0.03156989
2006,12,0.01998066,0.697180658989183,0,0.01998066,-0.01228785,0.03226851
2007,1,-0.04247247,0.644947006706076,-0.04247247,-0,-0.04184531,-0.00062716
2007,2,0.00775,-0.254627685623987,0.00775,0,0.01201155,-0.00426155
2007,3,0.01015718,0.0854472550656737,0,0.01015718,0.00234815,0.00780903
2007,4,-0.00357668,-0.3214999202239,-0,-0.00357668,0.00848509,-0.01206177
2007,5,-0.00286687,-0.11738420423022,-0,-0.00286687,0.00231754,-0.00518441
2007,6,-0.00706903,-0.110733823750842,-0,-0.00706903,3.95e-06,-0.00707298
2007,7,0.00069578,-0.120659650220034,0.00069578,0,0.00420353,-0.00350775
2007,8,-0.00341222,-0.0510285526303278,-0,-0.00341222,-7.551e-05,-0.00333671
2007,9,-0.03905494,0.526312026752507,-0.03905494,-0,-0.0363456,-0.00270934
2007,10,-0.00198323,-0.0832170679183619,-0,-0.00198323,0.00166756,-0.00365079
2007,11,-0.02028751,-0.349102776992005,-0,-0.02028751,0.00101171,-0.02129922
2007,12,0.01968213,-0.381738081675564,0.01968213,0,0.02203938,-0.00235725
2008,1,-0.00180422,-0.295615027060769,-0,-0.00180422,0.00854417,-0.01034839
2008,2,-0.04997862,-0.605038240964717,-0,-0.04997862,-0.00565551,-0.04432311
2008,3,0.02968341,-0.564470604921574,0.02968341,0,0.03287918,-0.00319577
2008,4,0.00104058,0.0499747449866916,0,0.00104058,-0.00107664,0.00211722
2008,5,-0.01125112,-0.425319727903428,-0,-0.01125112,0.0079654,-0.01921652
2008,6,0.14663536,-0.433983633554824,0.14663536,0,0.08718549,0.05944987
2008,7,-0.08584979,1.35320062185773,-0.08584979,-0,-0.08616599,0.0003162
2008,8,-0.04167908,-0.637270002828849,-0,-0.04167908,-0.00047578,-0.0412033
2008,9,-0.00703351,-0.755483514443789,-0,-0.00703351,0.02062448,-0.02765799
2008,10,-0.05771144,-0.810760493031637,-0,-0.05771144,-0.00294813,-0.05476331
2008,11,0.20356323,-1.30428193491552,0.20356323,0,0.14345953,0.0601037
2008,12,0.05053506,-1.47784599256786,0.05053506,0,0.07249163,-0.02195657
2009,1,-0.02512442,-0.571526476159256,-0,-0.02512442,0.00570074,-0.03082516
2009,2,-0.05769535,-0.458091676403427,-0,-0.05769535,-0.0142095,-0.04348585
2009,3,0.00445032,0.228659642468632,0,0.00445032,-0.00508159,0.00953191
2009,4,0.08397578,-0.0510608946750146,0.08397578,0,0.04361952,0.04035626
2009,5,-0.02420993,-0.292221535248149,-0,-0.02420993,-0.00276712,-0.02144281
2009,6,0.03906212,0.0120242890783828,0,0.03906212,0.01914683,0.01991529
2009,7,-0.06735439,-1.66959763168348,-0,-0.06735439,0.01967426,-0.08702865
2009,8,0.00155789,-0.0954478917656765,0.00155789,0,0.00382895,-0.00227106
2009,9,-0.04359971,-0.219099207942719,-0,-0.04359971,-0.01479861,-0.0288011
2009,10,-0.02371474,-0.173400424928793,-0,-0.02371474,-0.00631641,-0.01739833
