
="",="(1)"
="",="Delta_log_unemp_rate_F6"

="mp_25bp_all",="0"
="",="(.)"

="0.county_id",="0"
="",="(.)"

="1.county_id",="0"
="",="(.)"

="2.county_id",="0"
="",="(.)"

="3.county_id",="0"
="",="(.)"

="4.county_id",="0"
="",="(.)"

="5.county_id",="0"
="",="(.)"

="6.county_id",="0"
="",="(.)"

="7.county_id",="0"
="",="(.)"

="8.county_id",="0"
="",="(.)"

="9.county_id",="0"
="",="(.)"

="10.county_id",="0"
="",="(.)"

="11.county_id",="0"
="",="(.)"

="12.county_id",="0"
="",="(.)"

="13.county_id",="0"
="",="(.)"

="14.county_id",="0"
="",="(.)"

="15.county_id",="0"
="",="(.)"

="16.county_id",="0"
="",="(.)"

="17.county_id",="0"
="",="(.)"

="18.county_id",="0"
="",="(.)"

="19.county_id",="0"
="",="(.)"

="20.county_id",="0"
="",="(.)"

="21.county_id",="0"
="",="(.)"

="22.county_id",="0"
="",="(.)"

="23.county_id",="0"
="",="(.)"

="24.county_id",="0"
="",="(.)"

="25.county_id",="0"
="",="(.)"

="26.county_id",="0"
="",="(.)"

="27.county_id",="0"
="",="(.)"

="28.county_id",="0"
="",="(.)"

="29.county_id",="0"
="",="(.)"

="30.county_id",="0"
="",="(.)"

="31.county_id",="0"
="",="(.)"

="32.county_id",="0"
="",="(.)"

="33.county_id",="0"
="",="(.)"

="34.county_id",="0"
="",="(.)"

="35.county_id",="0"
="",="(.)"

="36.county_id",="0"
="",="(.)"

="37.county_id",="0"
="",="(.)"

="38.county_id",="0"
="",="(.)"

="39.county_id",="0"
="",="(.)"

="40.county_id",="0"
="",="(.)"

="41.county_id",="0"
="",="(.)"

="42.county_id",="0"
="",="(.)"

="43.county_id",="0"
="",="(.)"

="44.county_id",="0"
="",="(.)"

="45.county_id",="0"
="",="(.)"

="46.county_id",="0"
="",="(.)"

="47.county_id",="0"
="",="(.)"

="48.county_id",="0"
="",="(.)"

="49.county_id",="0"
="",="(.)"

="50.county_id",="0"
="",="(.)"

="51.county_id",="0"
="",="(.)"

="52.county_id",="0"
="",="(.)"

="53.county_id",="0"
="",="(.)"

="54.county_id",="0"
="",="(.)"

="55.county_id",="0"
="",="(.)"

="56.county_id",="0"
="",="(.)"

="57.county_id",="0"
="",="(.)"

="58.county_id",="0"
="",="(.)"

="59.county_id",="0"
="",="(.)"

="60.county_id",="0"
="",="(.)"

="61.county_id",="0"
="",="(.)"

="62.county_id",="0"
="",="(.)"

="63.county_id",="0"
="",="(.)"

="64.county_id",="0"
="",="(.)"

="65.county_id",="0"
="",="(.)"

="66.county_id",="0"
="",="(.)"

="67.county_id",="0"
="",="(.)"

="68.county_id",="0"
="",="(.)"

="69.county_id",="0"
="",="(.)"

="70.county_id",="0"
="",="(.)"

="71.county_id",="0"
="",="(.)"

="72.county_id",="0"
="",="(.)"

="73.county_id",="0"
="",="(.)"

="74.county_id",="0"
="",="(.)"

="75.county_id",="0"
="",="(.)"

="76.county_id",="0"
="",="(.)"

="77.county_id",="0"
="",="(.)"

="78.county_id",="0"
="",="(.)"

="79.county_id",="0"
="",="(.)"

="80.county_id",="0"
="",="(.)"

="81.county_id",="0"
="",="(.)"

="82.county_id",="0"
="",="(.)"

="83.county_id",="0"
="",="(.)"

="84.county_id",="0"
="",="(.)"

="85.county_id",="0"
="",="(.)"

="86.county_id",="0"
="",="(.)"

="87.county_id",="0"
="",="(.)"

="88.county_id",="0"
="",="(.)"

="89.county_id",="0"
="",="(.)"

="90.county_id",="0"
="",="(.)"

="91.county_id",="0"
="",="(.)"

="92.county_id",="0"
="",="(.)"

="93.county_id",="0"
="",="(.)"

="94.county_id",="0"
="",="(.)"

="95.county_id",="0"
="",="(.)"

="96.county_id",="0"
="",="(.)"

="97.county_id",="0"
="",="(.)"

="98.county_id",="0"
="",="(.)"

="99.county_id",="0"
="",="(.)"

="100.county_id",="0"
="",="(.)"

="101.county_id",="0"
="",="(.)"

="102.county_id",="0"
="",="(.)"

="103.county_id",="0"
="",="(.)"

="104.county_id",="0"
="",="(.)"

="105.county_id",="0"
="",="(.)"

="106.county_id",="0"
="",="(.)"

="107.county_id",="0"
="",="(.)"

="108.county_id",="0"
="",="(.)"

="109.county_id",="0"
="",="(.)"

="110.county_id",="0"
="",="(.)"

="111.county_id",="0"
="",="(.)"

="112.county_id",="0"
="",="(.)"

="113.county_id",="0"
="",="(.)"

="114.county_id",="0"
="",="(.)"

="115.county_id",="0"
="",="(.)"

="116.county_id",="0"
="",="(.)"

="117.county_id",="0"
="",="(.)"

="118.county_id",="0"
="",="(.)"

="119.county_id",="0"
="",="(.)"

="120.county_id",="0"
="",="(.)"

="121.county_id",="0"
="",="(.)"

="122.county_id",="0"
="",="(.)"

="123.county_id",="0"
="",="(.)"

="124.county_id",="0"
="",="(.)"

="125.county_id",="0"
="",="(.)"

="126.county_id",="0"
="",="(.)"

="127.county_id",="0"
="",="(.)"

="128.county_id",="0"
="",="(.)"

="129.county_id",="0"
="",="(.)"

="130.county_id",="0"
="",="(.)"

="131.county_id",="0"
="",="(.)"

="132.county_id",="0"
="",="(.)"

="133.county_id",="0"
="",="(.)"

="134.county_id",="0"
="",="(.)"

="135.county_id",="0"
="",="(.)"

="136.county_id",="0"
="",="(.)"

="137.county_id",="0"
="",="(.)"

="138.county_id",="0"
="",="(.)"

="139.county_id",="0"
="",="(.)"

="140.county_id",="0"
="",="(.)"

="141.county_id",="0"
="",="(.)"

="142.county_id",="0"
="",="(.)"

="143.county_id",="0"
="",="(.)"

="144.county_id",="0"
="",="(.)"

="145.county_id",="0"
="",="(.)"

="146.county_id",="0"
="",="(.)"

="147.county_id",="0"
="",="(.)"

="148.county_id",="0"
="",="(.)"

="149.county_id",="0"
="",="(.)"

="150.county_id",="0"
="",="(.)"

="151.county_id",="0"
="",="(.)"

="152.county_id",="0"
="",="(.)"

="153.county_id",="0"
="",="(.)"

="154.county_id",="0"
="",="(.)"

="155.county_id",="0"
="",="(.)"

="156.county_id",="0"
="",="(.)"

="157.county_id",="0"
="",="(.)"

="158.county_id",="0"
="",="(.)"

="159.county_id",="0"
="",="(.)"

="160.county_id",="0"
="",="(.)"

="161.county_id",="0"
